time_of_day,weather,traffic_density,visibility,optimal_sensors
night,rainy,medium,0.21,"['eye_blink', 'alcohol', 'Li-Fi']"
night,clear,high,0.72,"['eye_blink', 'alcohol', 'Li-Fi']"
night,foggy,high,0.8,"['eye_blink', 'alcohol', 'Li-Fi']"
morning,rainy,low,0.71,"['ultrasonic', 'alcohol']"
afternoon,clear,medium,0.47,"['eye_blink', 'alcohol', 'Li-Fi']"
night,clear,high,0.25,"['eye_blink', 'alcohol', 'Li-Fi']"
morning,rainy,medium,0.9,"['ultrasonic', 'eye_blink', 'alcohol']"
night,clear,low,0.66,"['ultrasonic', 'eye_blink', 'alcohol']"
afternoon,foggy,medium,0.21,"['eye_blink', 'alcohol', 'Li-Fi']"
morning,foggy,high,0.94,"['eye_blink', 'alcohol', 'Li-Fi']"
morning,foggy,low,0.89,"['eye_blink', 'alcohol', 'Li-Fi']"
evening,rainy,medium,0.86,"['ultrasonic', 'eye_blink', 'alcohol']"
night,foggy,medium,0.44,"['eye_blink', 'alcohol', 'Li-Fi']"
night,clear,high,0.34,"['eye_blink', 'alcohol', 'Li-Fi']"
evening,foggy,high,0.42,"['eye_blink', 'alcohol', 'Li-Fi']"
evening,foggy,low,0.6,"['eye_blink', 'alcohol', 'Li-Fi']"
evening,rainy,low,0.7,"['ultrasonic', 'alcohol']"
afternoon,foggy,low,0.91,"['eye_blink', 'alcohol', 'Li-Fi']"
afternoon,rainy,low,0.22,"['eye_blink', 'alcohol', 'Li-Fi']"
morning,rainy,medium,0.96,"['ultrasonic', 'eye_blink', 'alcohol']"
night,clear,medium,0.9,"['ultrasonic', 'alcohol']"
morning,rainy,high,0.85,"['ultrasonic', 'eye_blink', 'alcohol']"
afternoon,rainy,high,0.29,"['eye_blink', 'alcohol', 'Li-Fi']"
evening,clear,high,0.28,"['eye_blink', 'alcohol', 'Li-Fi']"
night,rainy,high,0.5,"['ultrasonic', 'eye_blink', 'alcohol']"
evening,clear,high,0.47,"['eye_blink', 'alcohol', 'Li-Fi']"
night,clear,high,0.57,"['eye_blink', 'alcohol', 'Li-Fi']"
afternoon,rainy,medium,0.74,"['ultrasonic', 'eye_blink', 'alcohol']"
morning,foggy,low,0.88,"['eye_blink', 'alcohol', 'Li-Fi']"
morning,clear,high,0.31,"['eye_blink', 'alcohol', 'Li-Fi']"
night,clear,high,0.91,"['eye_blink', 'alcohol', 'Li-Fi']"
afternoon,rainy,high,0.83,"['ultrasonic', 'eye_blink', 'alcohol']"
night,clear,high,0.51,"['eye_blink', 'alcohol', 'Li-Fi']"
afternoon,rainy,medium,0.27,"['eye_blink', 'alcohol', 'Li-Fi']"
afternoon,foggy,low,0.6,"['eye_blink', 'alcohol', 'Li-Fi']"
evening,rainy,medium,0.51,"['ultrasonic', 'eye_blink', 'alcohol']"
evening,rainy,high,0.34,"['eye_blink', 'alcohol', 'Li-Fi']"
morning,clear,low,0.61,"['ultrasonic', 'eye_blink', 'alcohol']"
morning,foggy,low,0.39,"['eye_blink', 'alcohol', 'Li-Fi']"
afternoon,rainy,medium,0.63,"['ultrasonic', 'eye_blink', 'alcohol']"
evening,clear,medium,0.28,"['eye_blink', 'alcohol', 'Li-Fi']"
afternoon,foggy,low,0.98,"['eye_blink', 'alcohol', 'Li-Fi']"
afternoon,foggy,medium,0.35,"['eye_blink', 'alcohol', 'Li-Fi']"
night,foggy,high,0.85,"['eye_blink', 'alcohol', 'Li-Fi']"
afternoon,clear,low,0.56,"['ultrasonic', 'eye_blink', 'alcohol']"
evening,rainy,high,0.91,"['ultrasonic', 'eye_blink', 'alcohol']"
morning,clear,high,0.25,"['eye_blink', 'alcohol', 'Li-Fi']"
evening,clear,low,0.83,"['ultrasonic', 'eye_blink', 'alcohol']"
night,foggy,high,0.44,"['eye_blink', 'alcohol', 'Li-Fi']"
morning,clear,low,0.62,"['ultrasonic', 'eye_blink', 'alcohol']"
evening,clear,medium,0.75,"['ultrasonic', 'alcohol']"
evening,foggy,low,0.51,"['eye_blink', 'alcohol', 'Li-Fi']"
afternoon,clear,medium,0.68,"['ultrasonic', 'alcohol']"
evening,clear,medium,0.6,"['ultrasonic', 'alcohol']"
night,foggy,low,0.89,"['eye_blink', 'alcohol', 'Li-Fi']"
night,foggy,low,0.61,"['eye_blink', 'alcohol', 'Li-Fi']"
evening,foggy,high,0.95,"['eye_blink', 'alcohol', 'Li-Fi']"
afternoon,rainy,medium,0.97,"['ultrasonic', 'eye_blink', 'alcohol']"
morning,foggy,low,0.73,"['eye_blink', 'alcohol', 'Li-Fi']"
afternoon,clear,high,0.97,"['eye_blink', 'alcohol', 'Li-Fi']"
morning,foggy,low,0.67,"['eye_blink', 'alcohol', 'Li-Fi']"
evening,clear,medium,0.69,"['ultrasonic', 'alcohol']"
night,foggy,low,0.83,"['eye_blink', 'alcohol', 'Li-Fi']"
night,foggy,high,0.45,"['eye_blink', 'alcohol', 'Li-Fi']"
afternoon,foggy,low,0.78,"['eye_blink', 'alcohol', 'Li-Fi']"
morning,foggy,medium,0.58,"['eye_blink', 'alcohol', 'Li-Fi']"
evening,clear,medium,0.77,"['ultrasonic', 'alcohol']"
morning,clear,high,0.94,"['eye_blink', 'alcohol', 'Li-Fi']"
night,rainy,low,0.66,"['ultrasonic', 'alcohol']"
night,clear,low,0.34,"['ultrasonic', 'eye_blink', 'alcohol']"
evening,clear,high,0.59,"['eye_blink', 'alcohol', 'Li-Fi']"
